Name,City,State,Rank,Website
Graphic Era University,Dehradun,Uttarakhand,72,https://geu.ac.in ​
Alagappa University,Karaikudi,Tamil Nadu,73,https://www.alagappauniversity.ac.in ​
Jamia Hamdard,New Delhi,Delhi,74,https://www.jamiahamdard.ac.in ​
Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,75,https://www.iiserb.ac.in ​
Bharathiar University,Coimbatore,Tamil Nadu,76,https://www.b-u.ac.in ​
Malaviya National Institute of Technology,Jaipur,Rajasthan,77,https://www.mnit.ac.in ​
All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,78,https://www.aiimsrishikesh.edu.in ​
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,79,https://www.mguniversity.edu ​
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,80,https://www.iitbbs.ac.in ​
Punjab Agricultural University,Ludhiana,Punjab,81,https://www.pau.edu ​
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,82,https://www.ssn.edu.in ​
King George`s Medical University,Lucknow,Uttar Pradesh,83,https://kgmu.org ​
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,84,https://www.dmiher.edu.in ​
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,85,https://www.snu.edu.in ​
"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,86,https://vnit.ac.in ​
University of Jammu,Jammu,Jammu and Kashmir,87,https://www.jammuuniversity.ac.in ​
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,88,https://tnau.ac.in ​
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,89,https://www.iiit.ac.in ​
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,90,https://www.bharathuniv.ac.in ​
Savitribai Phule Pune University,Pune,Maharashtra,91,https://www.unipune.ac.in ​
Mumbai University,Mumbai,Maharashtra,92,https://www.mu.ac.in ​
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,93,https://www.sathyabama.ac.in ​
Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Srinagar,Jammu and Kashmir,94,https://www.skuastkashmir.ac.in ​
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,95,https://www.nmims.edu ​
Christ University,Bengaluru,Karnataka,96,https://www.christuniversity.in ​
National Institute of Technology Silchar,Silchar,Assam,97,https://www.nits.ac.in ​
Manipal University Jaipur,Jaipur,Rajasthan,98,https://jaipur.manipal.edu ​
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,99,https://www.mmmut.ac.in ​
All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,100,https://www.aiimsbhubaneswar.edu.in
